Wall time,Step,Value
1683361936.5048015,9908,808.0
1683361946.9841092,10277,722.0
1683361947.1809611,10284,722.0
1683361950.1171842,10400,233.0
1683361952.7142727,10480,651.0
1683361953.7551951,10523,282.0
1683361956.6857045,10608,285.0
1683361960.5528517,10758,359.0
1683361961.168345,10781,520.0
1683361964.8662825,10903,1144.0
1683361964.9344409,10906,1165.0
1683361966.2956982,10967,93.0
1683361966.515112,10975,149.0
1683361968.3436856,11021,426.0
1683361970.4632328,11103,771.0
1683361980.2762232,11420,100.0
1683361981.777542,11473,434.0
1683361983.337204,11533,724.0
1683361984.1594021,11567,950.0
1683361987.4529974,11686,219.0
1683361989.029486,11760,658.0
1683361995.6072378,11970,257.0
1683361995.7473667,11975,291.0
1683362001.6660664,12165,434.0
1683362005.6293514,12291,226.0
1683362017.1977916,12672,149.0
1683362022.9964943,12878,647.0
1683362024.3971248,12940,128.0
1683362027.5723917,13035,444.0
1683362028.2782354,13062,594.0
1683362038.7990131,13403,898.0
1683362042.2950656,13547,688.0
1683362043.4661953,13598,1045.0
1683362044.6317518,13621,1206.0
1683362050.0408077,13811,233.0
1683362051.9925196,13885,434.0
1683362057.5739892,14081,898.0
1683362061.7780116,14222,233.0
1683362063.5991306,14295,434.0
1683362064.6645966,14339,596.0
1683362068.3868954,14448,333.0
1683362074.074499,14639,121.0
1683362074.897663,14669,40.0
1683362075.3942504,14688,156.0
1683362077.5242474,14780,562.0
1683362079.1575482,14810,40.0
1683362080.846476,14874,191.0
1683362081.3417716,14893,48.0
1683362094.0682168,15325,594.0
1683362099.1455805,15474,722.0
1683362100.0144997,15508,761.0
1683362106.583568,15741,898.0
1683362107.2278237,15765,944.0
1683362118.243509,16117,163.0
1683362122.400949,16250,484.0
1683362124.0177343,16322,198.0
1683362134.9754615,16698,434.0
1683362138.3316143,16810,408.0
1683362139.5462961,16858,594.0
1683362140.631253,16900,677.0
1683362145.873417,17067,263.0
1683362146.5785925,17098,205.0
1683362151.9764595,17293,415.0
1683362152.6071312,17318,590.0
1683362153.1463206,17340,744.0
1683362159.4436574,17544,660.0
1683362159.8452723,17558,758.0
1683362160.553725,17587,961.0
1683362160.751964,17595,1017.0
1683362175.4961772,18066,516.0
1683362187.7521334,18452,811.0
1683362202.9629962,18959,303.0
1683362207.8055933,19117,282.0
1683362209.1327152,19170,594.0
1683362212.6045465,19272,434.0
1683362219.73799,19532,626.0
1683362222.9975803,19641,1079.0
1683362223.3252535,19655,53.0
1683362225.0676203,19732,508.0
1683362228.8576093,19847,212.0
1683362231.1212454,19939,682.0
1683362232.5517554,19996,86.0
1683362234.3395305,20036,366.0
1683362234.816275,20054,434.0
1683362235.043111,20063,461.0
1683362236.9658782,20139,906.0
1683362240.345141,20245,247.0
1683362240.5433302,20253,303.0
1683362242.4360292,20324,668.0
1683362246.147198,20441,606.0
1683362248.5799563,20540,1249.0
1683362248.60399,20541,1256.0
1683362249.155463,20563,1410.0
1683362249.5379229,20579,128.0
1683362255.094765,20780,608.0
1683362255.1667693,20783,628.0
1683362257.0228317,20832,898.0
1683362257.5903156,20856,1038.0
1683362263.5674684,21081,978.0
1683362265.0453246,21145,212.0
1683362267.54116,21210,594.0
1683362268.0875545,21233,717.0
1683362270.2661293,21320,240.0
1683362271.9603417,21392,40.0
1683362275.7221842,21524,722.0
1683362284.7867513,21849,205.0
1683362295.4690409,22246,254.0
1683362296.5697012,22293,583.0
1683362297.4656985,22331,79.0
1683362298.1042483,22359,275.0
1683362301.4907913,22473,635.0
1683362311.9888184,22841,1622.0
1683362319.5932107,23139,678.0
1683362319.8286376,23149,748.0
1683362320.8726885,23193,898.0
1683362322.1873827,23219,93.0
1683362323.2411678,23264,128.0
1683362323.7849686,23287,289.0
1683362325.5806932,23362,40.0
1683362327.7953274,23428,485.0
1683362330.4003773,23541,177.0
1683362334.1073449,23671,829.0
1683362334.3602593,23682,898.0
1683362334.8178039,23702,898.0
1683362341.3762941,23939,1138.0
1683362345.8477511,24080,163.0
1683362347.6446443,24148,594.0
1683362352.4434292,24283,656.0
1683362352.4924612,24285,670.0
1683362353.496586,24323,866.0
1683362354.1780553,24346,928.0
1683362362.7666354,24622,243.0
1683362365.2140756,24720,42.0
1683362365.4107873,24728,86.0
1683362370.6814494,24902,794.0
1683362371.546656,24935,1025.0
1683362374.0640912,25009,135.0
1683362375.0536153,25048,128.0
1683362377.2699578,25134,170.0
1683362381.3019385,25254,212.0
1683362383.314465,25333,595.0
1683362384.873436,25392,758.0
1683362394.546512,25687,802.0
1683362398.7506542,25813,540.0
1683362399.7660835,25848,93.0
1683362401.7843318,25922,529.0
1683362406.535763,26067,576.0
1683362407.294717,26092,42.0
1683362409.078915,26156,440.0
1683362414.1019886,26304,574.0
1683362417.6425579,26404,1110.0
1683362420.0654693,26471,58.0
1683362430.3430302,26798,443.0
1683362430.3771968,26799,450.0
1683362432.0666223,26830,594.0
1683362442.2591016,27143,606.0
1683362442.623989,27155,687.0
1683362442.7645955,27159,715.0
1683362442.7953732,27160,722.0
1683362447.162222,27275,270.0
1683362455.1252203,27506,100.0
1683362459.1361954,27604,226.0
1683362459.6625283,27621,345.0
1683362460.198399,27639,434.0
1683362467.3196533,27826,671.0
1683362470.2341409,27917,170.0
1683362471.3522148,27951,408.0
1683362471.910475,27969,534.0
1683362484.9972796,28322,212.0
1683362489.5318434,28439,434.0
1683362489.9687688,28452,434.0
1683362492.8177917,28544,519.0
1683362493.7186425,28573,594.0
1683362496.02644,28612,722.0
1683362508.5558214,28971,691.0
1683362509.4603121,28997,725.0
1683362511.5650547,29038,898.0
1683362512.404259,29063,1046.0
1683362517.771539,29202,53.0
1683362519.7461972,29264,434.0
1683362527.4108198,29472,1410.0
1683362527.9571435,29488,128.0
1683362530.1760921,29562,86.0
1683362532.7006521,29612,435.0
1683362536.9747512,29748,1273.0
1683362540.346953,29830,205.0
1683362546.6229966,30006,86.0
1683362547.3547127,30032,268.0
1683362549.2310438,30093,415.0
1683362551.7920656,30175,268.0
1683362554.9147599,30244,471.0
