Wall time,Step,Value
1682739331.7474082,87009,81.0
1682739348.091431,87394,422.0
1682739380.1034305,88138,837.0
1682739402.9755876,88675,321.0
1682739431.4226801,89348,81.0
1682739432.098606,89364,422.0
1682739458.4101918,89974,249.0
1682739469.769819,90238,353.0
1682739530.271438,91625,1303.0
1682739531.265485,91648,201.0
1682739551.6756616,92121,991.0
1682739609.071019,93472,833.0
1682739627.1573818,93902,595.0
1682739676.5624075,95058,722.0
1682739690.3334765,95378,705.0
1682739694.7100346,95481,105.0
1682739729.6005774,96302,44.0
1682739822.3118875,98475,201.0
1682739882.2542417,99885,672.0
1682739923.9880612,100859,81.0
1682739944.4739177,101336,594.0
1682739969.6572704,101924,153.0
1682739970.4828734,101944,297.0
1682740011.6481278,102912,129.0
1682740015.5013099,103002,297.0
1682740055.6757317,103948,398.0
1682740072.0467393,104335,177.0
1682740096.456545,104897,105.0
1682740097.6582727,104925,722.0
1682740133.964513,105775,513.0
1682740167.726575,106567,722.0
1682740221.751382,107838,58.0
1682740253.8040726,108587,537.0
1682740323.5224876,110225,602.0
1682740370.2354474,111324,105.0
1682740386.500552,111699,524.0
1682740437.8655183,112903,692.0
1682740531.823609,115097,44.0
1682740550.0633478,115519,129.0
1682740601.2334833,116712,225.0
1682740604.3356316,116784,837.0
1682740615.5326898,117048,783.0
1682740640.5392685,117636,105.0
1682740664.5244553,118191,129.0
1682740792.650024,121193,566.0
1682740792.692064,121194,590.0
1682740798.6074462,121333,1140.0
1682740801.630816,121404,884.0
1682740819.9733052,121836,722.0
1682740835.761207,122206,719.0
1682740854.26583,122635,249.0
1682740967.9781334,125291,81.0
1682741172.6852689,130072,153.0
1682741241.125356,131681,594.0
1682741249.533702,131877,278.0
1682741356.4244003,134377,695.0
1682741356.9826338,134390,722.0
1682741360.6028745,134475,722.0
1682741377.7288957,134878,434.0
1682741409.2072365,135616,637.0
1682741454.3029966,136674,722.0
1682741454.520039,136679,722.0
1682741470.5286334,137056,646.0
1682741570.9144256,139404,225.0
1682741572.8755662,139450,722.0
1682741595.4743407,139976,153.0
1682741598.9708407,140056,297.0
1682741628.5394008,140751,81.0
1682741638.6663878,140990,884.0
1682741648.7985954,141223,249.0
1682741719.9854944,142893,594.0
1682741776.9479725,144227,417.0
1682741779.466609,144286,880.0
1682741865.6298618,146313,722.0
1682741881.9497783,146697,58.0
1682741916.5758939,147492,898.0
1682741964.0970664,148605,244.0
1682741967.0330439,148674,722.0
1682742010.2596498,149684,740.0
1682742056.2214963,150759,645.0
1682742060.7067494,150864,437.0
1682742068.6050315,151043,44.0
1682742078.6094697,151277,837.0
1682742142.240567,152767,1375.0
1682742245.7755377,155190,934.0
1682742308.3076324,156653,249.0
1682742328.6558003,157131,441.0
1682742341.4489408,157431,984.0
1682742349.6268227,157624,594.0
1682742441.7076612,159780,435.0
1682742461.9992545,160253,297.0
1682742501.9808776,161188,44.0
1682742509.5381684,161365,470.0
1682742534.600928,161951,856.0
1682742561.593326,162584,177.0
1682742570.321821,162790,81.0
1682742591.7884738,163297,434.0
1682742648.845262,164623,1174.0
1682742685.000252,165464,249.0
1682742690.7275405,165598,201.0
1682742699.3581574,165801,594.0
1682742760.426223,167235,594.0
1682742767.3965309,167397,595.0
1682742778.167256,167645,722.0
1682742794.9046786,168038,633.0
1682742849.812005,169324,44.0
1682742877.1545045,169964,722.0
1682742886.6707633,170189,665.0
1682742948.4139342,171621,177.0
1682742950.1012793,171660,452.0
1682742950.541779,171670,692.0
1682743006.0385218,172973,345.0
1682743011.202372,173094,898.0
1682743031.1478548,173557,594.0
1682743077.671986,174648,262.0
1682743211.3734498,177778,129.0
1682743229.086271,178193,297.0
1682743249.1453369,178662,58.0
1682743250.8142118,178702,105.0
1682743271.8519711,179197,257.0
1682743319.7257676,180316,983.0
1682743351.0431445,181050,44.0
1682743353.4899893,181109,285.0
1682743395.101814,182088,835.0
1682743431.5691252,182945,517.0
1682743431.7871962,182950,594.0
1682743445.5671186,183272,177.0
1682743459.340668,183599,225.0
1682743521.5261896,185059,225.0
1682743572.4469695,186233,81.0
1682743609.3910038,187091,297.0
