Wall time,Step,Value
1682868809.8194597,58747,1015.0
1682868950.0675006,60180,434.0
1682868950.6517031,60186,453.0
1682868979.1474073,60476,594.0
1682869141.9578764,62140,737.0
1682869291.380527,63672,591.0
1682869374.3651683,64522,489.0
1682869483.9674797,65644,434.0
1682869596.1467056,66788,618.0
1682869619.0801287,67022,58.0
1682869660.3324528,67441,289.0
1682869831.421423,69186,647.0
1682869883.4905858,69720,153.0
1682869967.770875,70581,105.0
1682869975.2599304,70657,44.0
1682870051.9830632,71429,722.0
1682870099.0685189,71907,940.0
1682870104.047278,71958,520.0
1682870109.4693475,72013,129.0
1682870179.0623631,72724,369.0
1682870206.9986494,73010,345.0
1682870448.728816,75488,44.0
1682870520.2470107,76219,898.0
1682870587.6320088,76907,321.0
1682870715.2035444,78209,434.0
1682870784.7633047,78921,81.0
1682870789.9061239,78974,437.0
1682870793.036103,79006,153.0
1682870928.051331,80391,469.0
1682870949.8502216,80614,58.0
1682870987.1579418,80997,585.0
1682871321.1336238,84410,177.0
1682871339.9473934,84602,81.0
1682871388.709836,85090,671.0
1682871480.469899,86015,493.0
1682871555.4104648,86781,44.0
1682871563.701985,86866,605.0
1682871577.6669974,87009,542.0
1682871615.148975,87394,129.0
1682871687.7316384,88138,1061.0
1682871740.1900296,88675,722.0
1682871805.9081626,89348,722.0
1682871807.4774837,89364,900.0
1682871866.9092686,89974,1010.0
1682871892.7720127,90238,1243.0
1682872028.4594214,91625,898.0
1682872030.6958623,91648,177.0
1682872077.4900723,92121,441.0
1682872211.072352,93472,589.0
1682872253.3917046,93902,619.0
1682872367.1325452,95058,542.0
1682872398.440943,95378,595.0
1682872408.622049,95481,722.0
1682872489.1595945,96302,129.0
1682872654.3847225,97987,273.0
1682872702.5974793,98475,1038.0
1682872759.3805716,99056,417.0
1682872840.7739012,99885,722.0
1682872936.4318306,100859,105.0
1682872983.1347914,101336,1053.0
1682873040.7116227,101924,518.0
1682873042.6652722,101944,297.0
1682873137.557021,102912,1080.0
1682873142.901167,102967,297.0
1682873146.3685384,103002,321.0
1682873238.920443,103948,225.0
1682873271.0563586,104277,201.0
1682873276.7152488,104335,594.0
1682873331.5557594,104897,242.0
1682873334.3071215,104925,542.0
1682873417.329316,105775,44.0
1682873494.633386,106567,967.0
1682873618.594572,107838,522.0
1682873692.2371686,108587,657.0
1682873852.9450524,110225,806.0
1682873872.0372381,110419,1337.0
1682873960.692992,111324,594.0
1682873997.5594547,111699,44.0
1682874116.590965,112903,44.0
1682874200.5274725,113742,602.0
1682874333.580547,115097,882.0
1682874374.818284,115519,129.0
1682874409.922253,115879,177.0
1682874491.3959117,116712,249.0
1682874498.4271345,116784,697.0
